CMDLINE /Library/Frameworks/Python.framework/Versions/3.12/bin/python3.12 chapter2.py
MEM 0.203125 1729507131.6751
MEM 22.937500 1729507131.7802
MEM 23.078125 1729507131.8853
MEM 23.218750 1729507131.9903
MEM 23.343750 1729507132.0954
MEM 23.640625 1729507132.2004
MEM 23.796875 1729507132.3054
MEM 23.953125 1729507132.4105
MEM 24.312500 1729507132.5155
MEM 24.593750 1729507132.6206
MEM 24.750000 1729507132.7256
MEM 24.921875 1729507132.8306
MEM 25.171875 1729507132.9357
MEM 25.328125 1729507133.0408
MEM 25.484375 1729507133.1458
MEM 25.640625 1729507133.2459
MEM 25.828125 1729507133.3510
MEM 26.000000 1729507133.4560
MEM 26.156250 1729507133.5611
MEM 26.312500 1729507133.6661
MEM 26.484375 1729507133.7711
MEM 26.640625 1729507133.8762
MEM 26.796875 1729507133.9812
MEM 26.953125 1729507134.0862
MEM 27.125000 1729507134.1903
MEM 27.281250 1729507134.2954
MEM 27.437500 1729507134.4004
MEM 27.609375 1729507134.5055
MEM 27.765625 1729507134.6068
MEM 27.921875 1729507134.7119
MEM 28.093750 1729507134.8169
MEM 28.250000 1729507134.9219
MEM 28.406250 1729507135.0269
MEM 28.578125 1729507135.1320
MEM 28.734375 1729507135.2370
MEM 28.906250 1729507135.3420
MEM 29.062500 1729507135.4470
MEM 29.218750 1729507135.5521
MEM 29.390625 1729507135.6568
MEM 29.546875 1729507135.7619
MEM 29.718750 1729507135.8669
MEM 29.875000 1729507135.9712
MEM 30.031250 1729507136.0735
MEM 30.187500 1729507136.1736
MEM 30.390625 1729507136.2786
MEM 30.546875 1729507136.3836
MEM 30.703125 1729507136.4886
MEM 30.875000 1729507136.5937
MEM 31.031250 1729507136.6987
MEM 31.187500 1729507136.8037
MEM 31.359375 1729507136.9087
MEM 31.515625 1729507137.0138
MEM 31.687500 1729507137.1188
MEM 31.843750 1729507137.2239
MEM 32.000000 1729507137.3289
MEM 32.171875 1729507137.4339
MEM 32.328125 1729507137.5390
MEM 32.484375 1729507137.6440
MEM 32.656250 1729507137.7490
MEM 32.812500 1729507137.8541
MEM 32.968750 1729507137.9568
MEM 33.140625 1729507138.0619
MEM 33.296875 1729507138.1669
MEM 33.468750 1729507138.2719
MEM 33.625000 1729507138.3769
MEM 33.781250 1729507138.4819
MEM 33.953125 1729507138.5870
MEM 34.140625 1729507138.6920
MEM 34.296875 1729507138.7970
MEM 34.468750 1729507138.9020
MEM 34.625000 1729507139.0071
MEM 34.796875 1729507139.1121
MEM 34.953125 1729507139.2171
MEM 35.109375 1729507139.3221
MEM 35.281250 1729507139.4271
MEM 35.437500 1729507139.5322
MEM 35.593750 1729507139.6372
MEM 35.765625 1729507139.7422
MEM 35.921875 1729507139.8472
MEM 36.093750 1729507139.9523
MEM 36.250000 1729507140.0573
MEM 36.406250 1729507140.1624
MEM 36.578125 1729507140.2674
MEM 36.734375 1729507140.3724
MEM 36.890625 1729507140.4735
MEM 37.062500 1729507140.5785
MEM 37.218750 1729507140.6835
MEM 37.375000 1729507140.7885
MEM 37.546875 1729507140.8936
MEM 37.703125 1729507140.9986
MEM 37.875000 1729507141.1036
MEM 38.062500 1729507141.2086
MEM 38.218750 1729507141.3136
MEM 38.390625 1729507141.4187
MEM 38.546875 1729507141.5237
MEM 38.718750 1729507141.6287
MEM 38.875000 1729507141.7338
MEM 39.031250 1729507141.8388
MEM 39.203125 1729507141.9438
MEM 39.359375 1729507142.0489
MEM 39.531250 1729507142.1539
MEM 39.687500 1729507142.2589
MEM 39.843750 1729507142.3640
MEM 40.015625 1729507142.4690
MEM 40.171875 1729507142.5741
MEM 40.328125 1729507142.6790
MEM 40.484375 1729507142.7841
MEM 40.656250 1729507142.8891
MEM 40.812500 1729507142.9901
MEM 40.968750 1729507143.0951
MEM 41.140625 1729507143.2002
MEM 41.296875 1729507143.3052
MEM 41.468750 1729507143.4102
MEM 41.625000 1729507143.5152
MEM 41.781250 1729507143.6203
MEM 41.984375 1729507143.7253
MEM 42.140625 1729507143.8303
MEM 42.296875 1729507143.9353
MEM 42.468750 1729507144.0401
MEM 42.625000 1729507144.1451
MEM 42.781250 1729507144.2501
MEM 42.953125 1729507144.3551
MEM 43.109375 1729507144.4602
MEM 43.281250 1729507144.5652
MEM 43.437500 1729507144.6702
MEM 43.593750 1729507144.7752
MEM 43.765625 1729507144.8803
MEM 43.921875 1729507144.9825
MEM 44.078125 1729507145.0876
MEM 44.250000 1729507145.1926
MEM 44.406250 1729507145.2977
MEM 44.578125 1729507145.4027
MEM 44.734375 1729507145.5077
MEM 44.890625 1729507145.6127
MEM 45.062500 1729507145.7177
MEM 45.218750 1729507145.8228
MEM 45.390625 1729507145.9278
MEM 45.546875 1729507146.0328
MEM 45.734375 1729507146.1378
MEM 45.906250 1729507146.2429
MEM 46.062500 1729507146.3479
MEM 46.234375 1729507146.4529
MEM 46.390625 1729507146.5580
MEM 46.546875 1729507146.6630
MEM 46.718750 1729507146.7680
MEM 46.875000 1729507146.8730
MEM 47.031250 1729507146.9734
MEM 47.203125 1729507147.0784
MEM 47.359375 1729507147.1835
MEM 47.515625 1729507147.2885
MEM 47.687500 1729507147.3935
MEM 47.843750 1729507147.4986
MEM 48.000000 1729507147.6036
MEM 48.171875 1729507147.7086
MEM 48.328125 1729507147.8137
MEM 48.500000 1729507147.9187
MEM 48.656250 1729507148.0234
MEM 48.812500 1729507148.1284
MEM 48.984375 1729507148.2334
MEM 49.140625 1729507148.3384
MEM 49.312500 1729507148.4435
MEM 49.468750 1729507148.5485
MEM 49.656250 1729507148.6535
MEM 49.828125 1729507148.7585
MEM 49.984375 1729507148.8636
MEM 50.140625 1729507148.9686
MEM 50.312500 1729507149.0733
MEM 50.468750 1729507149.1784
MEM 50.640625 1729507149.2834
MEM 50.796875 1729507149.3884
MEM 50.953125 1729507149.4900
MEM 51.125000 1729507149.5951
MEM 51.281250 1729507149.7001
MEM 51.437500 1729507149.8051
MEM 51.609375 1729507149.9101
MEM 51.765625 1729507150.0152
MEM 51.921875 1729507150.1202
MEM 52.093750 1729507150.2252
MEM 52.250000 1729507150.3302
MEM 52.421875 1729507150.4352
MEM 52.578125 1729507150.5384
MEM 52.734375 1729507150.6434
MEM 52.906250 1729507150.7485
MEM 53.062500 1729507150.8535
MEM 53.234375 1729507150.9585
MEM 53.421875 1729507151.0635
MEM 53.578125 1729507151.1685
MEM 53.750000 1729507151.2736
MEM 53.906250 1729507151.3786
MEM 54.078125 1729507151.4836
MEM 54.234375 1729507151.5886
MEM 54.390625 1729507151.6900
MEM 54.562500 1729507151.7950
MEM 54.718750 1729507151.9000
MEM 54.875000 1729507152.0051
MEM 55.046875 1729507152.1101
MEM 55.203125 1729507152.2151
MEM 55.375000 1729507152.3201
MEM 55.531250 1729507152.4252
MEM 55.703125 1729507152.5302
MEM 55.859375 1729507152.6352
MEM 56.015625 1729507152.7402
MEM 56.187500 1729507152.8452
MEM 56.343750 1729507152.9503
MEM 56.515625 1729507153.0553
MEM 56.671875 1729507153.1566
MEM 56.828125 1729507153.2617
MEM 56.984375 1729507153.3667
MEM 57.187500 1729507153.4718
MEM 57.343750 1729507153.5768
MEM 57.515625 1729507153.6818
MEM 57.671875 1729507153.7868
MEM 57.828125 1729507153.8919
MEM 58.000000 1729507153.9969
MEM 58.156250 1729507154.1019
MEM 58.312500 1729507154.2020
MEM 58.484375 1729507154.3071
MEM 58.640625 1729507154.4121
MEM 58.796875 1729507154.5171
MEM 58.968750 1729507154.6221
MEM 59.125000 1729507154.7272
MEM 59.296875 1729507154.8322
MEM 59.453125 1729507154.9372
MEM 59.609375 1729507155.0399
MEM 59.781250 1729507155.1450
MEM 59.937500 1729507155.2500
MEM 60.109375 1729507155.3550
MEM 60.265625 1729507155.4566
MEM 60.421875 1729507155.5617
MEM 60.578125 1729507155.6667
MEM 60.750000 1729507155.7717
MEM 60.906250 1729507155.8767
MEM 61.109375 1729507155.9818
MEM 61.265625 1729507156.0868
MEM 61.421875 1729507156.1888
MEM 61.578125 1729507156.2939
MEM 61.750000 1729507156.3989
MEM 61.906250 1729507156.5039
MEM 62.062500 1729507156.6066
MEM 62.234375 1729507156.7116
MEM 62.421875 1729507156.8167
MEM 62.578125 1729507156.9217
MEM 62.750000 1729507157.0268
MEM 62.906250 1729507157.1318
MEM 63.062500 1729507157.2368
MEM 63.234375 1729507157.3418
MEM 63.390625 1729507157.4469
MEM 63.562500 1729507157.5519
MEM 63.718750 1729507157.6569
MEM 63.875000 1729507157.7620
MEM 64.046875 1729507157.8670
MEM 64.203125 1729507157.9720
MEM 64.359375 1729507158.0770
MEM 64.531250 1729507158.1821
MEM 64.687500 1729507158.2871
MEM 64.843750 1729507158.3921
MEM 65.015625 1729507158.4972
MEM 65.203125 1729507158.6022
MEM 65.375000 1729507158.7072
MEM 65.531250 1729507158.8122
MEM 65.687500 1729507158.9123
MEM 65.843750 1729507159.0174
MEM 66.015625 1729507159.1224
MEM 66.156250 1729507159.2232
MEM 66.328125 1729507159.3283
MEM 66.484375 1729507159.4333
MEM 66.640625 1729507159.5384
MEM 66.796875 1729507159.6399
MEM 66.890625 1729507159.7450
MEM 67.046875 1729507159.8500
MEM 67.250000 1729507159.9551
MEM 67.406250 1729507160.0602
MEM 67.562500 1729507160.1652
MEM 67.734375 1729507160.2702
MEM 67.890625 1729507160.3747
MEM 68.046875 1729507160.4798
MEM 68.203125 1729507160.5849
MEM 68.375000 1729507160.6899
MEM 68.531250 1729507160.7950
MEM 68.687500 1729507160.9000
MEM 68.859375 1729507161.0050
MEM 69.015625 1729507161.1101
MEM 69.171875 1729507161.2151
MEM 69.343750 1729507161.3201
MEM 69.500000 1729507161.4240
MEM 69.656250 1729507161.5291
MEM 69.812500 1729507161.6342
MEM 69.984375 1729507161.7392
MEM 70.140625 1729507161.8442
MEM 70.312500 1729507161.9492
MEM 70.468750 1729507162.0542
MEM 70.625000 1729507162.1565
MEM 70.796875 1729507162.2615
MEM 70.953125 1729507162.3665
MEM 71.109375 1729507162.4716
MEM 71.281250 1729507162.5732
MEM 71.437500 1729507162.6782
MEM 71.593750 1729507162.7832
MEM 71.796875 1729507162.8882
MEM 71.953125 1729507162.9898
MEM 72.109375 1729507163.0949
MEM 72.281250 1729507163.1999
MEM 72.437500 1729507163.3049
MEM 72.609375 1729507163.4099
MEM 72.765625 1729507163.5149
MEM 72.921875 1729507163.6200
MEM 73.093750 1729507163.7250
MEM 73.250000 1729507163.8273
MEM 73.406250 1729507163.9323
MEM 73.578125 1729507164.0373
MEM 73.734375 1729507164.1424
MEM 73.890625 1729507164.2463
MEM 74.062500 1729507164.3513
MEM 74.218750 1729507164.4563
MEM 74.390625 1729507164.5614
MEM 74.546875 1729507164.6664
MEM 74.703125 1729507164.7714
MEM 74.875000 1729507164.8764
MEM 75.031250 1729507164.9815
MEM 75.187500 1729507165.0865
MEM 75.359375 1729507165.1915
MEM 75.515625 1729507165.2966
MEM 75.718750 1729507165.4016
MEM 75.875000 1729507165.5066
MEM 76.031250 1729507165.6117
MEM 76.203125 1729507165.7167
MEM 76.359375 1729507165.8217
MEM 76.531250 1729507165.9267
MEM 76.687500 1729507166.0318
MEM 76.843750 1729507166.1368
MEM 77.015625 1729507166.2418
MEM 77.171875 1729507166.3468
MEM 77.343750 1729507166.4519
MEM 77.500000 1729507166.5564
MEM 77.656250 1729507166.6615
MEM 77.828125 1729507166.7666
MEM 77.984375 1729507166.8716
MEM 78.140625 1729507166.9767
MEM 78.312500 1729507167.0817
MEM 78.468750 1729507167.1867
MEM 78.625000 1729507167.2917
MEM 78.796875 1729507167.3968
MEM 78.953125 1729507167.5018
MEM 79.125000 1729507167.6068
MEM 79.312500 1729507167.7119
MEM 79.484375 1729507167.8169
MEM 79.640625 1729507167.9219
MEM 79.796875 1729507168.0270
MEM 79.968750 1729507168.1306
MEM 80.125000 1729507168.2357
MEM 80.281250 1729507168.3407
MEM 80.453125 1729507168.4457
MEM 80.609375 1729507168.5507
MEM 80.781250 1729507168.6558
MEM 80.937500 1729507168.7608
MEM 81.093750 1729507168.8658
MEM 81.265625 1729507168.9708
MEM 81.421875 1729507169.0759
MEM 81.593750 1729507169.1809
MEM 81.750000 1729507169.2859
MEM 81.906250 1729507169.3910
MEM 82.078125 1729507169.4960
MEM 82.234375 1729507169.6010
MEM 82.406250 1729507169.7060
MEM 82.562500 1729507169.8111
MEM 82.718750 1729507169.9161
MEM 82.890625 1729507170.0211
MEM 83.078125 1729507170.1230
MEM 83.234375 1729507170.2281
MEM 83.406250 1729507170.3331
MEM 83.562500 1729507170.4381
MEM 83.718750 1729507170.5431
MEM 83.890625 1729507170.6482
MEM 84.046875 1729507170.7532
MEM 84.203125 1729507170.8582
MEM 84.375000 1729507170.9632
MEM 84.531250 1729507171.0683
MEM 84.687500 1729507171.1733
MEM 84.859375 1729507171.2784
MEM 85.015625 1729507171.3834
MEM 85.187500 1729507171.4884
MEM 85.343750 1729507171.5897
MEM 85.500000 1729507171.6947
MEM 85.671875 1729507171.7997
MEM 85.828125 1729507171.9048
MEM 85.984375 1729507172.0098
MEM 86.156250 1729507172.1148
MEM 86.312500 1729507172.2199
MEM 86.484375 1729507172.3249
MEM 86.640625 1729507172.4299
MEM 86.796875 1729507172.5349
MEM 87.000000 1729507172.6397
MEM 87.156250 1729507172.7447
MEM 87.312500 1729507172.8497
MEM 87.484375 1729507172.9548
MEM 87.640625 1729507173.0598
MEM 87.812500 1729507173.1648
MEM 87.968750 1729507173.2698
MEM 88.125000 1729507173.3748
MEM 88.296875 1729507173.4799
MEM 88.453125 1729507173.5849
MEM 88.625000 1729507173.6899
MEM 88.781250 1729507173.7950
MEM 88.937500 1729507173.9000
MEM 89.109375 1729507174.0050
MEM 89.265625 1729507174.1063
MEM 89.421875 1729507174.2113
MEM 89.593750 1729507174.3163
MEM 89.750000 1729507174.4214
MEM 89.906250 1729507174.5230
MEM 90.078125 1729507174.6280
MEM 90.234375 1729507174.7330
MEM 90.390625 1729507174.8380
MEM 90.562500 1729507174.9383
MEM 90.718750 1729507175.0433
MEM 90.875000 1729507175.1483
MEM 91.078125 1729507175.2533
MEM 91.234375 1729507175.3583
MEM 91.406250 1729507175.4634
MEM 91.562500 1729507175.5684
MEM 91.718750 1729507175.6730
MEM 91.890625 1729507175.7780
MEM 92.046875 1729507175.8830
MEM 92.203125 1729507175.9880
MEM 92.375000 1729507176.0896
MEM 92.531250 1729507176.1946
MEM 92.687500 1729507176.2996
MEM 92.859375 1729507176.4047
MEM 93.015625 1729507176.5097
MEM 93.187500 1729507176.6147
MEM 93.343750 1729507176.7198
